Columna1,Columna2,Columna3,Columna4,Columna5,Columna6,Columna7
Aug 26 2021,449375,449590,446899,4470.00,447000,2704600000
Aug 27 2021,447410,451333,447410,450937.00,450937,2862360000
Aug 30 2021,451376,453736,451376,452879.00,452879,2557300000
Aug 31 2021,452975,453139,451580,452268.00,452268,3090380000
Sep 01 2021,452880,453711,452202,452409.00,452409,3101830000
Sep 02 2021,453448,454585,452466,453695.00,453695,2897010000
Sep 03 2021,453242,454145,452130,453543.00,453543,2609660000
Sep 07 2021,453538,453538,451300,452003.00,452003,3098870000
Sep 08 2021,451809,452179,449395,451407.00,451407,2808480000
Sep 09 2021,451302,452990,449207,449328.00,449328,3035300000
Sep 10 2021,450692,452047,445766,445858.00,445858,2851140000
Sep 13 2021,447481,449299,444570,446873.00,446873,3096390000
Sep 14 2021,447933,448568,443546,444305.00,444305,2568730000
Sep 15 2021,444749,448687,443837,44807.00,448070,3154760000
Sep 16 2021,447709,448587,444380,447375.00,447375,3321030000
Sep 17 2021,446974,447152,442776,443299.00,443299,5622210000
Sep 20 2021,440295,440295,430591,435773.00,435773,3773680000
Sep 21 2021,437445,439487,434796,435419.00,435419,3044300000
Sep 22 2021,436743,441675,436743,439564.00,439564,3273670000
Sep 23 2021,440675,446540,440675,444898.00,444898,2833290000
Sep 24 2021,443804,446312,443027,445548.00,445548,2772090000
Sep 27 2021,444212,445730,443619,444311.00,444311,3032870000
Sep 28 2021,441954,441954,434633,435263.00,435263,3495970000
Sep 29 2021,436241,438557,435508,435946.00,435946,2753800000
Sep 30 2021,437067,438255,430624,430754.00,430754,3123770000
Oct 01 2021,431716,437519,428852,435704.00,435704,3148980000
Oct 04 2021,434884,435551,427894,430046.00,430046,3110560000
Oct 05 2021,430987,436923,430987,434572.00,434572,2967400000
Oct 06 2021,431957,436557,429049,436355.00,436355,3219590000
Oct 07 2021,438373,442997,438373,439976.00,439976,3096080000
Oct 08 2021,440651,441202,438622,439134.00,439134,2401890000
Oct 11 2021,438544,441588,436059,436119.00,436119,2580000000
Oct 12 2021,436831,437489,434209,435065.00,435065,2608150000
Oct 13 2021,435801,437287,432992,43638.00,436380,2926460000
Oct 14 2021,438675,443973,438675,443826.00,443826,2642920000
Oct 15 2021,444769,447582,444769,447137.00,447137,3000560000
Oct 18 2021,446372,448875,444747,448646.00,448646,2683540000
Oct 19 2021,449734,452040,449641,451963.00,451963,2531210000
Oct 20 2021,452442,454087,452440,453619.00,453619,2671560000
Oct 21 2021,453224,455144,452689,454978.00,454978,3016950000
Oct 22 2021,454612,455967,452400,45449.00,454490,3062810000
Oct 25 2021,455369,457262,453736,456648.00,456648,3250210000
Oct 26 2021,457869,459853,456917,457479.00,457479,2866500000
Oct 27 2021,458022,458457,455166,455168.00,455168,3259510000
Oct 28 2021,456284,459755,456284,459642.00,459642,3197560000
Oct 29 2021,457287,460808,456759,460538.00,460538,3632260000
Nov 01 2021,461062,462034,459506,461367.00,461367,2924000000
Nov 02 2021,461334,463515,461334,463065.00,463065,3309690000
Nov 03 2021,463065,466346,462119,466057.00,466057,3339440000
Nov 04 2021,466293,468300,466259,468006.00,468006,3332940000
